director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
MitchellLichtenstein,JessWeixler,NathanParsons,JohnHensley,comedy fantasy horror thriller,Teeth,JessWeixler NathanParsons JohnHensley MitchellLichtenstein comedy fantasy horror thriller
LanceMungia,JeffreyFalcon,StephaneGauger,KimDeAngelo,action adventure comedy drama music sci-fi,Six-String Samurai,JeffreyFalcon StephaneGauger KimDeAngelo LanceMungia action adventure comedy drama music sci-fi
KundanShah,KarismaKapoor,BobbyDeol,ShaktiKapoor,action comedy romance thriller,Hum To Mohabbat Karega,KarismaKapoor BobbyDeol ShaktiKapoor KundanShah action comedy romance thriller
MichaelDowse,PaulKaye,NeilMaskell,KateMagowan,biography comedy drama music,It's All Gone Pete Tong,PaulKaye NeilMaskell KateMagowan MichaelDowse biography comedy drama music
HueRhodes,PeterDinklage,SteveBuscemi,RomanyMalco,comedy drama,Saint John of Las Vegas,PeterDinklage SteveBuscemi RomanyMalco HueRhodes comedy drama
ShaneMeadows,BobHoskins,AnnetteBadland,KarlCollins,comedy drama romance sport,24 7: Twenty Four Seven,BobHoskins AnnetteBadland KarlCollins ShaneMeadows comedy drama romance sport
RolandEmmerich,JeremyIrvine,CalebLandryJones,MattCraven,drama,Stonewall,JeremyIrvine CalebLandryJones MattCraven RolandEmmerich drama
RolandEmmerich,JoeMorton,ColinFerguson,SalliRichardson-Whitfield,comedy drama sci-fi,Eureka            ,JoeMorton ColinFerguson SalliRichardson-Whitfield RolandEmmerich comedy drama sci-fi
JugalHansraj,SaifAliKhan,SanjayMishra,JavedJaffrey,animation comedy family romance,Roadside Romeo,SaifAliKhan SanjayMishra JavedJaffrey JugalHansraj animation comedy family romance
DannyProvenzano,VincentPastore,FrankVincent,ChuckZito,crime drama,This Thing of Ours,VincentPastore FrankVincent ChuckZito DannyProvenzano crime drama
BillMuir,AlexKendrick,JansenPanettiere,TiyaSircar,adventure family fantasy,The Lost Medallion: The Adventures of Billy Stone,AlexKendrick JansenPanettiere TiyaSircar BillMuir adventure family fantasy
