director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,genresres,comb
JonErwin,ClorisLeachman,DennisQuaid,PriscillaShirer,'Music'  'Drama',I Can Only Imagine,'music'  'drama',ClorisLeachman DennisQuaid PriscillaShirer JonErwin 'Music'  'Drama'
JoséPadilha,RosamundPike,DanielBrühl,VincentCassel,'Thriller'  'Drama'  'Crime',7 Days in Entebbe,'thriller'  'drama'  'crime',RosamundPike DanielBrühl VincentCassel JoséPadilha 'Thriller'  'Drama'  'Crime'
LaurieCollyer,MelissaLeo,TessaThompson,LaLaAnthony,'Comedy',Furlough,'comedy',MelissaLeo TessaThompson LaLaAnthony LaurieCollyer 'Comedy'
EricEngland,SophieTurner,DylanMcDermott,JackKilmer,'Comedy'  'Music',Josie,'comedy'  'music',SophieTurner DylanMcDermott JackKilmer EricEngland 'Comedy'  'Music'
MaxWinkler,ZoeyDeutch,KathrynHahn,TimHeidecker,'Drama'  'Comedy',Flower,'drama'  'comedy',ZoeyDeutch KathrynHahn TimHeidecker MaxWinkler 'Drama'  'Comedy'
StevenS.DeKnight,JohnBoyega,ScottEastwood,CaileeSpaeny,'Action'  'Fantasy'  'Science Fiction'  'Adventure',Pacific Rim: Uprising,'action'  'fantasy'  'science fiction'  'adventure',JohnBoyega ScottEastwood CaileeSpaeny StevenS.DeKnight 'Action'  'Fantasy'  'Science Fiction'  'Adventure'
WesAnderson,BryanCranston,EdwardNorton,BillMurray,'Adventure'  'Comedy'  'Animation',Isle of Dogs,'adventure'  'comedy'  'animation',BryanCranston EdwardNorton BillMurray WesAnderson 'Adventure'  'Comedy'  'Animation'
JohnStevenson,JamesMcAvoy,EmilyBlunt,JohnnyDepp,'Animation'  'Family'  'Fantasy'  'Comedy'  'Adventure'  'Mystery',Sherlock Gnomes,'animation'  'family'  'fantasy'  'comedy'  'adventure'  'mystery',JamesMcAvoy EmilyBlunt JohnnyDepp JohnStevenson 'Animation'  'Family'  'Fantasy'  'Comedy'  'Adventure'  'Mystery'
StevenSoderbergh,ClaireFoy,JoshuaLeonard,JayPharoah,'Horror'  'Thriller',Unsane,'horror'  'thriller',ClaireFoy JoshuaLeonard JayPharoah StevenSoderbergh 'Horror'  'Thriller'
AndrewHyatt,JamesFaulkner,JimCaviezel,OlivierMartinez,'Drama'  'History',"Paul, Apostle of Christ",'drama'  'history',JamesFaulkner JimCaviezel OlivierMartinez AndrewHyatt 'Drama'  'History'
